BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,Generator Fuel Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__PMRCY000,2__PMRCY000,Octopus Energy Limited,MERCURY,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-2.68,0.4636,0.4953,0.25,-1.242,-1.327,0,0,F,T,F,,01/12/18,,F
2__PMTRL000,2__PMTRL000,BROOK GREEN TRADING LIMITED,MISTRAL,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-2.8,0.4319,0.3071,0.25,-1.209,-0.86,0,0,F,T,F,,01/12/18,,F
2__PNATP000,NPEC Scottish Hydro Area NATP,Npower Limited,NPOWER01,G,,NSC-NPE01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,233.584,-82.162,-0.6463,-0.6852,0.25,53.101,56.297,-150.965,-160.052,F,T,T,,03/01/19,,F
2__PNCKL000,2__PNCKL000,Brilliant Energy Supply Ltd,NICKEL,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-1.366,0.4354,0.4693,0.25,-0.595,-0.641,0,0,F,T,F,,01/12/18,,F
2__PNEEB000,Scottish Hydro,NPower Northern Supply Ltd,NEEB,G,,NSC-NEE01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-22.946,0.5781,0.6088,0.25,-13.265,-13.97,0,0,F,T,T,,01/12/18,,F
2__PNEVA000,NEVA_P,NEVADA ENERGY LIMITED,NEVA,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PNEWP000,2__PNEWP000,Shell Energy Supply UK Ltd,NEWPORT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,3.992,-15.362,0.4634,0.4488,0.25,-7.119,-6.894,1.85,1.792,F,T,F,,01/12/18,,F
2__PNORW000,2__PNORW000,E.ON Energy Solutions Limited,PGENERGY,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.6883,0.6862,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PNUCE000,2__PNUCE000,NDA,MAGNOX,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__POBER000,2__POBER000,Addito Supply Limited,OBERON,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__POGAS000,2__POGAS000,British Gas Trading Ltd,BRITGAS,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.042,0.4634,0.4488,0.25,-0.019,-0.019,0,0,F,T,F,,01/12/18,,F
2__POPAL000,2__POPAL000,Avid Energy,OPAL0516,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__POREB000,2__POREB000,MoneyPlus Energy Limited,OREBA,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__POREG000,OREG_P,OREGON ENERGY LIMITED,OREG,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__POSMI000,2__POSMI000,BRISTOL NRG TEC&SERV(SUPP) LTD,OSMIUM,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,4.114,-1.094,0.3613,0.3433,0.25,-0.395,-0.376,1.486,1.412,F,T,F,,01/12/18,,F
2__POVOE000,2__POVOE000,OVO Electricity Ltd,OVOE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-3.24,0.5089,0.549,0.25,-1.649,-1.779,0,0,F,T,F,,01/12/18,,F
2__POXPO000,2__POXPO000,Opus Energy Limited,OXFPOWER,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-14.98,0.4507,0.3297,0.25,-6.751,-4.939,0,0,F,T,F,,01/12/18,,F
2__PPADD000,2__PPADD000,Paddington Power Limited,PADDINGT,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPALL000,2__PPALL000,Palladium Energy Supply Ltd,PALLAD,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPGEN000,2__PPGEN000,E.ON UK plc,POWERGEN,G,,NSC-PGU01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,150,-38,0.3362,0.1611,0.25,-12.776,-6.122,50.43,24.165,F,T,T,,11/01/19,,F
2__PPGEN001,Rothes,E.ON UK plc,POWERGEN,S,,CAIRW-1,_P,NORTH of SCOTLAND GSP,DEFAULT__P,C,C,-0.0263604,50,-0.3,0.3102,0.3143,0.25,-0.093,-0.094,15.51,15.715,T,T,T,,01/12/18,F,T
2__PPGEN002,Pauls Hill,E.ON UK plc,POWERGEN,S,,PAUHW-1,_P,NORTH of SCOTLAND GSP,DEFAULT__P,C,C,-0.0263604,64.4,-0.4,0.3854,0.4541,0.25,-0.154,-0.182,24.82,29.244,T,T,T,,01/12/18,F,T
2__PPGEN003,Camster,E.ON UK plc,POWERGEN,S,,CMSTW-1,_P,NORTH of SCOTLAND GSP,DEFAULT__P,C,C,-0.0263604,50,-0.3,0.474,0.4688,0.25,-0.142,-0.141,23.7,23.44,T,T,T,,01/12/18,F,T
2__PPILO000,2__PPILO000,Tonik Energy Limited,PILO1015,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-1.03,0.4897,0.5307,0.25,-0.504,-0.547,0,0,F,T,F,,11/01/19,,F
2__PPION000,2__PPION000,Igloo Energy Supply Limited,PION1015,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPIRO000,2__PPIRO000,Pirranello Energy Supply Ltd,PIRANELO,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPOWQ000,PowerQ_P,Hartree Partners Supply UK,POWQ,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPROZ000,PROZ_P,Dyce Energy Ltd,PROZ,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PPSUK000,NPEC Scottish Hydro Area PSUK,Npower Limited,NPOWER01,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-0.128,0.4634,0.4488,0.25,-0.059,-0.057,0,0,F,T,F,,01/12/18,,F
2__PPURE000,2__PPURE000,Good Energy Limited,PURE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,27.6,-0.9,-8.5005,-8.3659,0.25,7.65,7.529,-234.614,-230.899,F,T,F,,01/12/18,,F
2__PPUTY000,2__PPUTY000,Putney Energy Limited,PUTNEY,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PQEEN000,2__PQEEN000,GoTo Energy (UK) Limited,QUEENS,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
